Identifier,Type,DOI,Title,Abstract,Number of references,Study Type,Study Population Size,Control Group Size,Sampling Method
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",bad,10.1002/jmv.26010,Early trends for SARS-CoV-2 infection in central and north Texas and impact on other circulating respiratory viruses.,"Rapid diagnosis and isolation are key to containing the quick spread of a pandemic agent like severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2), which has spread globally since its initial outbreak in Wuhan province in China. SARS-CoV-2 is novel and the effect on typically prevalent seasonal viruses is just becoming apparent. We present our initial data on the prevalence of respiratory viruses in the month of March 2020. This is a retrospective cohort study post launching of SARS-CoV-2 testing at Baylor Scott and White Hospital (BSWH), Temple, Texas. Testing for SARS-CoV-2 was performed by real-time reverse transcription polymerase chain reaction assay and results were shared with State public health officials for immediate interventions. More than 3500 tests were performed during the first 2 weeks of testing for SARS-CoV-2 and identified 168 (4.7%) positive patients. Sixty-two (3.2%) of the 1912 ambulatory patients and 106 (6.3%) of the 1659 emergency department/inpatients tested were positive. The highest rate of infection (6.9%) was seen in patients aged 25 to 34 years, while the lowest rate of infection was seen among patients aged <25 years old (2%). County-specific patient demographic information was shared with respective public health departments for epidemiological interventions. Incidentally, this study showed that there was a significant decrease in the occurrence of seasonal respiratory virus infections, perhaps due to increased epidemiological awareness about SARS-CoV-2 among the general public, as well as the social distancing measures implemented in response to SARS-CoV-2. Data extracted for BSWH from the Centers for Disease Control and Prevention's National Respiratory and Enteric Virus Surveillance System site revealed that Influenza incidence was 8.7% in March 2020, compared with 25% in March 2019. This study was intended to provide an initial experience of dealing with a pandemic and the role of laboratories in crisis management. This study provided SARS-CoV-2 testing data from ambulatory and inpatient population. Epidemiological interventions depend on timely availability of accurate diagnostic tests and throughput capacity of such systems during large outbreaks like SARS-CoV-2.",20, retrospective cohort study,3571, none, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",bad,10.1371/journal.pntd.0008065,A realistic two-strain model for MERS-CoV infection uncovers the high risk for epidemic propagation.,"Middle East Respiratory Syndrome Coronavirus (MERS-CoV) causes severe acute respiratory illness with a case fatality rate (CFR) of 35,5%. The highest number of MERS-CoV cases are from Saudi-Arabia, the major worldwide hotspot for this disease. In the absence of neither effective treatment nor a ready-to-use vaccine and with yet an incomplete understanding of its epidemiological cycle, prevention and containment measures can be derived from mathematical models of disease epidemiology. We constructed 2-strain models to predict past outbreaks in the interval 2012-2016 and derive key epidemiological information for Macca, Madina and Riyadh. We approached variability in infection through three different disease incidence functions capturing social behavior in response to an epidemic (e.g. Bilinear, BL; Non-monotone, NM; and Saturated, SAT models). The best model combination successfully anticipated the total number of MERS-CoV clinical cases for the 2015-2016 season and accurately predicted both the number of cases at the peak of seasonal incidence and the overall shape of the epidemic cycle. The evolution in the basic reproduction number (R0) warns that MERS-CoV may easily take an epidemic form. The best model correctly captures this feature, indicating a high epidemic risk (1≤R0≤2,5) in Riyadh and Macca and confirming the alleged co-circulation of more than one strain. Accurate predictions of the future MERS-CoV peak week, as well as the number of cases at the peak are now possible. These results indicate public health agencies should be aware that measures for strict containment are urgently needed before new epidemics take off in the region.",6, RCT,100,50, Randomized
Clinical Features of COVID-19 and Factors Associated with Severe Clinical Course,bad,10.3389/fmed.2020.570853,"The Clinical Features and Prognostic Assessment of SARS-CoV-2 Infection-Induced Sepsis Among COVID-19 Patients in Shenzhen, China.",,32, retrospective cohort,422, N/A, convenience sampling
Clinical Features of COVID-19 and Factors Associated with Severe Clinical Course,bad,10.3389/fmed.2020.557453,Prognostic Factors for COVID-19 Pneumonia Progression to Severe Symptoms Based on Earlier Clinical Features: A Retrospective Analysis.,"Approximately 15-20% of COVID-19 patients will develop severe pneumonia, and about 10% of these will die if not properly managed. Earlier discrimination of potentially severe patients basing on routine clinical and laboratory changes and commencement of prophylactical management will not only save lives but also mitigate the otherwise overwhelming healthcare burden. In this retrospective investigation, the clinical and laboratory features were collected from 125 COVID-19 patients who were classified into mild (93 cases) or severe (32 cases) groups according to their clinical outcomes after 3-7 days post-admission. The subsequent analysis with single-factor and multivariate logistic regression methods indicated that 17 factors on admission differed significantly between mild and severe groups but that only comorbidity with underlying diseases, increased respiratory rate (>24/min), elevated C-reactive protein (CRP >10 mg/L), and lactate dehydrogenase (LDH >250 U/L) were independently associated with the later disease development. Finally, we evaluated their prognostic values with receiver operating characteristic curve (ROC) analysis and found that the above four factors could not confidently predict the occurrence of severe pneumonia individually, though a combination of fast respiratory rate and elevated LDH significantly increased the predictive confidence (AUC = 0.944, sensitivity = 0.941, and specificity = 0.902). A combination consisting of three or four factors could further increase the prognostic value. Additionally, measurable serum viral RNA post-admission independently predicted the severe illness occurrence. In conclusion, a combination of general clinical characteristics and laboratory tests could provide a highly confident prognostic value for identifying potentially severe COVID-19 pneumonia patients.",17, Retrospective analysis,125, N/A, Convenience sampling
Clinical Features of COVID-19 and Factors Associated with Severe Clinical Course,bad,10.1186/s12979-020-00194-w,"COVID-19: age, Interleukin-6, C-reactive protein, and lymphocytes as key clues from a multicentre retrospective study.","BACKGROUND: The SARS-CoV-2 infection has widely spread to become the greatest public health challenge to date, the COVID-19 pandemic. Different fatality rates among countries are probably due to non-standardized records being carried out by local health authorities. The Spanish case-fatality rate is 11.22%, far higher than those reported in Asia or by other European countries. A multicentre retrospective study of demographic, clinical, laboratory and immunological features of 584 Spanish COVID-19 hospitalized patients and their outcomes was performed. The use of renin-angiotensin system blockers was also analysed as a risk factor. RESULTS: In this study, 27.4% of cases presented a mild course, 42.1% a moderate one and for 30.5% of cases, the course was severe. Ages ranged from 18 to 98 (average 63). Almost 60 % (59.8%) of patients were male. Interleukin 6 was higher as severity increased. On the other hand, CD8 lymphocyte count was significantly lower as severity grew and subpopulations CD4, CD8, CD19, and NK showed concordant lowering trends. Severity-related natural killer percent descents were evidenced just within aged cases. A significant severity-related decrease of CD4 lymphocytes was found in males. The use of angiotensin-converting enzyme inhibitors was associated with a better prognosis. The angiotensin II receptor blocker use was associated with a more severe course. CONCLUSIONS: Age and age-related comorbidities, such as dyslipidaemia, hypertension or diabetes, determined more frequent severe forms of the disease in this study than in previous literature cohorts. Our cases are older than those so far reported and the clinical course of the disease is found to be impaired by age. Immunosenescence might be therefore a suitable explanation for the hampering of immune system effectors. The adaptive immunity would become exhausted and a strong but ineffective and almost deleterious innate response would account for COVID-19 severity. Angiotensin-converting enzyme inhibitors used by hypertensive patients have a protective effect in regards to COVID-19 severity in our series. Conversely, patients on angiotensin II receptor blockers showed a severer disease.",48, observational,584, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,bad,10.3389/fmed.2020.589060,Molecular Mechanisms Lead to Sex-Specific COVID-19 Prognosis and Targeted Therapies.,"Clinical and epidemiological studies have identified male sex as an important risk factor for COVID-19 clinical outcomes and mortality. This raises the question as to how this risk factor can be addressed in the prognosis, clinical management, and the treatment of patients with Coronavirus disease 2019 (COVID-19). Currently, there are no guidelines or protocols to help alter the course of sex-specific COVID-19 prognosis, especially in severe disease presentations. This is partly due to the lack of research studies characterizing the differences in male vs. female host response to the severe acute respiratory syndrome Coronavirus-2 (SARS-CoV-2) infection and a lack of a well-rounded understanding of the molecular mechanisms involved. Here, we discuss three distinct but interconnected molecular-level differences in males and females that likely play an essential role in the COVID-19 prognosis. We review interactions of SARS-CoV-2 with host cell angiotensin-converting enzyme 2 (ACE2) in the viral entry between males vs. females and discuss the differential regulation of the renin-angiotensin system (RAS) between the two sexes. Next, we present immune response disparities and how immune function and endocrine regulation may render males increasingly vulnerable to severe COVID-19. We describe the interconnected roles of these three regulatory systems in males and females in response to SARS-CoV-2 infection. Finally, we highlight the clinical implications of these mechanisms to patients with COVID-19 and propose putative targeted therapies that can help reduce COVID-19 severity in those critically ill.",72, review, N/A, N/A, N/A
Sex-Specific COVID-19 Clinical Outcomes,bad,10.3389/fmed.2020.00459,"COVID-19 Clinical Characteristics, and Sex-Specific Risk of Mortality: Systematic Review and Meta-Analysis.",,66, systematic review and meta-analysis,5057, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,bad,10.3389/fmed.2020.00348,Systematic Review and Meta-Analysis of Sex-Specific COVID-19 Clinical Outcomes.,"To successfully mitigate the extraordinary devastation caused by the Coronavirus disease 2019 (COVID-19) pandemic, it is crucial to identify important risk factors for this disease. One such neglected health determinant is the sex of the patient. This is an essential clinical characteristic, as it can factor into a patient's clinical management and preventative measures. Some clinical studies have shown disparities in the proportion between males and females that have more severe clinical outcomes or, subsequently, die from this disease. However, this association has not been unequivocally established. Thus, the purpose of this investigation was to examine the association between male sex and COVID-19 severity. We systematically reviewed the literature, identified studies that matched predetermined selection criteria, and performed a meta-analysis to evaluate the proportion of males among four disease severity categories. Appropriate assessment strategies were implemented to assess and minimize potential biases. The results of this meta-analysis indicated that males constituted a significantly higher proportion of those who had adverse clinical outcomes and died from COVID-19. As the coronavirus spread from the East to the West, male sex remained a consistent risk factor. Our results support the establishment of the male sex as an important risk factor for this disease. Early identification and appropriate medical care for males with lab-confirmed COVID-19 may substantially change the course of clinical prognosis, resulting in greater numbers of lives saved.",80, systematic review and meta-analysis,7556, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,bad,10.3389/fimmu.2020.601170,Sex Differences in Immunity: Implications for the Development of Novel Vaccines Against Emerging Pathogens.,"Vaccines are one of the greatest public health achievements and have saved millions of lives. They represent a key countermeasure to limit epidemics caused by emerging infectious diseases. The Ebola virus disease crisis in West Africa dramatically revealed the need for a rapid and strategic development of vaccines to effectively control outbreaks. Seven years later, in light of the SARS-CoV-2 pandemic, this need has never been as urgent as it is today. Vaccine development and implementation of clinical trials have been greatly accelerated, but still lack strategic design and evaluation. Responses to vaccination can vary widely across individuals based on factors like age, microbiome, co-morbidities and sex. The latter aspect has received more and more attention in recent years and a growing body of data provide evidence that sex-specific effects may lead to different outcomes of vaccine safety and efficacy. As these differences might have a significant impact on the resulting optimal vaccine regimen, sex-based differences should already be considered and investigated in pre-clinical and clinical trials. In this Review, we will highlight the clinical observations of sex-specific differences in response to vaccination, delineate sex differences in immune mechanisms, and will discuss the possible resulting implications for development of vaccine candidates against emerging infections. As multiple vaccine candidates against COVID-19 that target the same antigen are tested, vaccine development may undergo a decisive change, since we now have the opportunity to better understand mechanisms that influence vaccine-induced reactogenicity and effectiveness of different vaccines.",62, review, N/A, N/A, N/A
Sex-Specific COVID-19 Clinical Outcomes,bad,10.1371/journal.ppat.1008520,"Sex-specific clinical characteristics and prognosis of coronavirus disease-19 infection in Wuhan, China: A retrospective study of 168 severe patients.","To confirm the relationship between sex and the progression of Coronavirus Disease-19 (COVID-19), and its potential mechanism, among severe patients. For this retrospective study, we included 168 consecutive severe patients with pathogen-confirmed COVID-19 who were hospitalized between January 16th and February 4th, 2020, at Tongji Hospital in Wuhan, China. Clinical characteristics, laboratory parameters, and outcomes were compared and analyzed between males and females. In the present study, we analyzed 168 severe patients with COVID-19, including 86 males and 82 females, and 48 patients (28.6%) were diagnosed as critically ill. Of 86 male patients, 12.8% (11/86) died and 75.6% (65/86) were discharged; of 82 female patients, 7.3% (6/82) died and 86.6% (71/82) were discharged. Eleven laboratory parameters showed significant differences between male and female patients, and six of them were higher during the whole clinical course in patients who died than in patients who were discharged. In adjusted logistic regression analysis, males with comorbidities presented a higher risk of being critically ill than males without comorbidities (OR = 3.824, 95% CI = 1.279-11.435). However, this association attenuated to null in female patients (OR = 2.992, 95% CI = 0.937-9.558). A similar sex-specific trend was observed in the relation between age and critically ill conditions. We highlighted sex-specific differences in clinical characteristics and prognosis. Male patients appeared to be more susceptible to age and comorbidities. Sex is an important biological variable that should be considered in the prevention and treatment of COVID-19.",0, observational,0,0, convenience sampling
