Identifier,Type,DOI,Title,Abstract,Number of references,Study Type,Study Population Size,Control Group Size,Sampling Method
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0119513,"The clinical and etiological characteristics of influenza-like illness (ILI) in outpatients in Shanghai, China, 2011 to 2013.","INTRODUCTION: Clinical and etiological characteristics of influenza-like illness (ILI) in outpatients is poorly understood in the southern temperate region of China. We conducted laboratory-based surveillance of viral etiology for ILI outpatients in Shanghai from January 2011 to December 2013. MATERIALS AND METHODS: Clinical and epidemiological data from ILI outpatients, both children and adults, were collected. A total of 1970 nasopharyngeal swabs were collected and tested for 12 respiratory viruses using multiplex RT-PCR, and the data were analyzed anonymously. RESULTS: All 12 respiratory viruses were detected in the specimens. At least one virus was detected in 32.4% of 1970 specimens analyzed, with 1.1% showing co-infections. The most frequently detected agents were influenza A (11.7%), influenza B (9.6%), and rhinoviruses (3.1%).Other viruses were present at a frequency less than 3.0%. We observed a winter peak in the detection rate in ILI patients during 3 years of surveillance and a summer peak in 2012. HCoV, HADV, and HMPV were detected more frequently in children than in adults. Patients infected with influenza virus experienced higher temperatures, more coughs, running noses, headaches and fatigue than patients infected with other viruses and virus-free patients (p<0.001). CONCLUSIONS: The spectrum, seasonality, age distribution and clinical associations of respiratory virus infections in children and adults with influenza-like illness were analyzed in this study for the first time. To a certain extent, the findings can provide baseline data for evaluating the burden of respiratory virus infection in children and adults in Shanghai. It will also provide clinicians with helpful information about the etiological patterns of outpatients presenting with complaints of acute respiratory syndrome, but further studies should be conducted, and longer-term laboratory-based surveillance would give a better picture of the etiology of ILI.",41, observational,1970, not applicable, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0155555,"The Role of Human Coronaviruses in Children Hospitalized for Acute Bronchiolitis, Acute Gastroenteritis, and Febrile Seizures: A 2-Year Prospective Study.","UNLABELLED: Human coronaviruses (HCoVs) are associated with a variety of clinical presentations in children, but their role in disease remains uncertain. The objective of our prospective study was to investigate HCoVs associations with various clinical presentations in hospitalized children up to 6 years of age. Children hospitalized with acute bronchiolitis (AB), acute gastroenteritis (AGE), or febrile seizures (FS), and children admitted for elective surgical procedures (healthy controls) were included in the study. In patients with AB, AGE, and FS, a nasopharyngeal (NP) swab and blood sample were obtained upon admission and the follow-up visit 14 days later, whereas in children with AGE a stool sample was also acquired upon admission; in healthy controls a NP swab and stool sample were taken upon admission. Amplification of polymerase 1b gene was used to detect HCoVs in the specimens. HCoVs-positive specimens were also examined for the presence of several other viruses. HCoVs were most often detected in children with FS (19/192, 9.9%, 95% CI: 6-15%), followed by children with AGE (19/218, 8.7%, 95% CI: 5.3-13.3%) and AB (20/308, 6.5%, 95% CI: 4.0-9.8%). The presence of other viruses was a common finding, most frequent in the group of children with AB (19/20, 95%, 95% CI: 75.1-99.8%), followed by FS (10/19, 52.6%, 95% CI: 28.9-75.6%) and AGE (7/19, 36.8%, 95% CI: 16.3-61.6%). In healthy control children HCoVs were detected in 3/156 (1.9%, 95% CI: 0.4-5.5%) NP swabs and 1/150 (0.7%, 95% CI: 0.02-3.3%) stool samples. It seems that an etiological role of HCoVs is most likely in children with FS, considering that they had a higher proportion of positive HCoVs results than patients with AB and those with AGE, and had the highest viral load; however, the co-detection of other viruses was 52.6%. TRIAL REGISTRATION: ClinicalTrials.gov NCT00987519.",50, prospective study,718,156, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.2807/1560-7917.ES.2018.23.5.17-00284,"Seasonality and geographical spread of respiratory syncytial virus epidemics in 15 European countries, 2010 to 2016.","Respiratory syncytial virus (RSV) is considered the most common pathogen causing severe lower respiratory tract infections among infants and young children. We describe the seasonality and geographical spread of RSV infection in 15 countries of the European Union and European Economic Area. We performed a retrospective descriptive study of weekly laboratory-confirmed RSV detections between weeks 40/2010 and 20/2016, in patients investigated for influenza-like illness, acute respiratory infection or following the clinician's judgment. Six countries reported 4,230 sentinel RSV laboratory diagnoses from primary care and 14 countries reported 156,188 non-sentinel laboratory diagnoses from primary care or hospitals. The median length of the RSV season based on sentinel and non-sentinel surveillance was 16 (range: 9-24) and 18 (range: 8-24) weeks, respectively. The median peak weeks for sentinel and non-sentinel detections were week 4 (range: 48 to 11) and week 4.5 (range: 49 to 17), respectively. RSV detections peaked later (r = 0.56; p = 0.0360) and seasons lasted longer with increasing latitude (r = 0.57; p = 0.0329). Our data demonstrated regular seasonality with moderate correlation between timing of the epidemic and increasing latitude of the country. This study supports the use of RSV diagnostics within influenza or other surveillance systems to monitor RSV seasonality and geographical spread.",40, retrospective descriptive study,160418, not applicable, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1007/s00705-014-2035-1,"Viral etiology of influenza-like illnesses in Huizhou, China, from 2011 to 2013.","Little information is available on the etiology and prevalence of viruses other than influenza viruses causing influenza-like illnesses (ILIs) in China. This study was conducted for simultaneous detection and identification of 14 respiratory viruses in Huizhou using real-time PCR. In total, viruses were detected in 48.66 % of ILI patient samples, in which influenza virus (19.98 %) was the most commonly detected, followed by rhinovirus (7.46 %), human coronaviruses (3.63 %), human metapneumovirus (3.06 %), parainfluenza virus (3.06 %), respiratory syncytial virus (2.39 %), adenovirus (2.29 %), and human bocavirus (1.43 %). Co-infections occurred in 5.35 % of all tested specimens and 11.00 % (56/509) of infected patients. Children under 5 years and adults older than 60 years were more likely to have one or more detectable viruses associated with their ILI (OR=1.75, 95 % CI: 1.37; 2.23). Influenza virus was detected during each month of each year, and increased viral activity was observed in 2013. Infections with adenovirus and human metapneumovirus had characteristic seasonal patterns. No significant differences were found in positive the rate between the gender groups, while significantly differences in positive rate were found among the different age groups (P-value<0.001). This study confirmed that multiple respiratory viruses may circulate concurrently in the population and play an important role in the etiology of ILI. The most frequent symptoms associated with respiratory viruses were sore throat, rhinorrhea and headache. This information needs to be considered by clinicians when treating patients presenting with ILI, and it could serve as a reference for government officers when designing and implementing effective intervention plans.",39, observational,1046, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1007/s00705-013-1794-4,Seasonality and prevalence of respiratory pathogens detected by multiplex PCR at a tertiary care medical center.,"Respiratory tract infections (RTIs) are a leading cause of mortality and morbidity. Seasonality has been reported for many viruses, including influenza virus, respiratory syncytial virus (RSV), and the recently described human metapneumovirus (hMPV). We hypothesize that the availability of rapid, multiplex PCR diagnostics will provide better clinical care and new insights into the etiology and clinical spectrum of RTIs. We conducted a retrospective analysis of the incidence of respiratory pathogens at a 500-bed adult and 154-bed pediatric hospital tertiary care center. A total of 939 specimens from patients with an age range of 5 days to 91 years (median, 2 years) were tested by a multiplex respiratory pathogen PCR from November 14, 2011 to November 13, 2012. Sixty-five percent of specimens were positive for at least one pathogen. As the age of the patient increased, the positivity rate for the PCR decreased proportionately. Rhinoviruses/enteroviruses (Rhino/Entero) were the most prevalent (34.3 %) followed by RSV (19.2 %) and hMPV (6.2 %). Twelve percent of the positive samples were positive for multiple analytes, with Rhino/Entero and RSV being the most common combination. The peak months were September and May for Rhino/Entero infections, January for RSV and February for coronavirus. hMPV peaked 2 months after RSV, as has been observed recently in other studies. Multiplex PCR provides rapid diagnostic information that can be used to make knowledgeable clinical decisions and potentially reduce the use of antibiotics. Active respiratory PCR surveillance could also predict seasonal respiratory epidemics to allow for adequate planning of additional infection control measures.",41, observational,939, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.7883/yoken.JJID.2014.266,"Detection of the human coronavirus 229E, HKU1, NL63, and OC43 between 2010 and 2013 in Yamagata, Japan.","The available literature on human coronaviruses (HCoVs) in Japan is limited to epidemiological studies conducted over a maximum of 1 year. We conducted a 4-year study of HCoVs by analyzing 4,342 respiratory specimens obtained in Yamagata, Japan, between January 2010 and December 2013. A pan-coronavirus reverse transcription-PCR screening assay was performed, and all HCoV-positive specimens were subsequently confirmed by sequencing of the PCR products. We detected in 332 (7.6%) HCoV strains during the study period, comprising 133 (3.1%) HCoV-NL63, 83 (1.9%) HCoV-HKU1, 78 (1.8%) HCoV-OC43, and 38 (0.9%) HCoV-229E strains. HCoV detection per year ranged from 3.5% to 9.7%. HCoVs were detected mainly in winter, with January (28.5%) and February (25.3%) 2011 and December 2012 (14.6%) being the only months in which HCoV-NL63 detection per month exceeded 10.0%. HCoV-HKU1 displayed clear biennial peaks in January (18.3%) and February (10.7%) 2010 and in February (18.8%) and March (14.7%) 2012. The peak detection of HCoV-OC43 was 13.6% in November 2010, while that of HCoV-229E was 10.8% in March 2013. Our results indicated that there may be annual variations in the circulation of individual HCoV strains. Further long-term surveillance is necessary to clarify HCoV prevalence and circulation patterns in Japan.",24, observational,4342, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1186/s40064-016-3101-9,"Molecular epidemiology and characterization of human coronavirus in Thailand, 2012-2013.","BACKGROUND: Coronavirus causes respiratory infections in humans. To determine the prevalence of human coronavirus (HCoV) infection among patients with influenza-like illness, 5833 clinical samples from nasopharyngeal swabs and aspirates collected between January 2012 and December 2013 were examined. RESULTS: HCoV was found in 46 (0.79 %) samples. There were 19 (0.32 %) HCoV-HKU1, 19 (0.32 %) HCoV-NL63, 5 (0.09 %) HCoV-229E, and 3 (0.05 %) HCoV-OC43. None of the sample tested positive for MERS-CoV. The majority (54 %) of the HCoV-positive patients were between the ages of 0 and 5 years. HCoV was detected throughout the 2-year period and generally peaked from May to October, which coincided with the rainy season. Phylogenetic trees based on the alignment of the spike (S) gene sequences suggest an emergence of a new clade for HCoV-229E. CONCLUSIONS: The data in this study provide an insight into the prevalence of the recent circulating HCoVs in the region.",51, observational,5833,0, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1016/j.jcv.2010.02.023,Burden of disease due to human coronavirus NL63 infections and periodicity of infection.,"BACKGROUND: The disease burden caused by recently identified respiratory viruses like HCoV-NL63 is unknown. OBJECTIVES: We determined the burden of disease due to HCoV-NL63 infections using the population-based PRI.DE cohort of children under the age of 3 with lower respiratory tract infections (LRTIs). STUDY DESIGN: In total 1756 respiratory samples, from hospitalized children or children who visited the outpatient clinic, were tested for HCoV-NL63. Sampling covered a period of 2 years and the frequency of infection in different years was compared to other Western European studies that tested for this virus in 2 or more consecutive years. RESULTS: Sixty-nine samples were HCoV-NL63 positive, 35 were with high loads, and of these 25 were single HCoV-NL63 infections. Based on the number of children with high HCoV-NL63 infection and no additional infection, the overall annual incidence in outpatients was 7 per 1000 children per year (95% confidence interval (CI) 3-13 per 1000 children per year), which can be extrapolated to an absolute number of 16,929 visits to the physician due to an HCoV-NL63 infection in Germany per year. The estimated hospitalization rate is 22 per 100,000 children (95% CI: 7-49 per 100,000 children per year). This number reflects 522 HCoV-NL63 children in Germany per year. A large year-to-year difference in HCoV-NL63 infection frequency was observed. Combining these data with those of other studies in Western Europe revealed that HCoV-NL63 infections follow a 2-year inter-epidemic period with peaks of infection in the winters of 2000/2001, 2002/2003 and 2004/2005 (p<0.0001). CONCLUSIONS: HCoV-NL63 infection in children below 3 years of age often requires a visit to the physician in an outpatient clinic, especially during peak-years, but hospitalizations are relatively infrequent.",27, observational,1756, not applicable, randomized
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0180888,"Prevalence of respiratory viruses among adults, by season, age, respiratory tract region and type of medical unit in Paris, France, from 2011 to 2016.","BACKGROUND: Multiplex PCR tests have improved our understanding of respiratory viruses' epidemiology by allowing their wide range detection. We describe here the burden of these viruses in hospital settings over a five-year period. METHODS: All respiratory samples from adult patients (>20 years old) tested by multiplex-PCR at the request of physicians, from May 1 2011 to April 30 2016, were included retrospectively. Viral findings are reported by season, patient age group, respiratory tract region (upper or lower) and type of clinical unit (intensive care unit, pneumology unit, lung transplantation unit and other medical units). RESULTS: In total, 7196 samples (4958 patients) were included; 29.2% tested positive, with viral co-infections detected in 1.6% of samples. Overall, two viral groups accounted for 60.2% of all viruses identified: picornaviruses (rhinovirus or enterovirus, 34.3%) and influenza (26.6%). Influenza viruses constituted the group most frequently identified in winter (34.4%), in the upper respiratory tract (32%) and in patients over the age of 70 years (36.4%). Picornavirus was the second most frequently identified viral group in these populations and in all other groups, including lower respiratory tract infections (41.3%) or patients in intensive care units (37.6%). CONCLUSION: This study, the largest to date in Europe, provides a broad picture of the distribution of viruses over seasons, age groups, types of clinical unit and respiratory tract regions in the hospital setting. It highlights the burden associated with the neglected picornavirus group. These data have important implications for the future development of vaccines and antiviral drugs.",50, observational,4958, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0064254,"Viral etiology of acute respiratory infection in Gansu Province, China, 2011.","BACKGROUND: Acute respiratory infections (ARIs) are the leading cause of children and their leading killer. ARIs are responsible for at least six percent of the world's disability and death. Viruses are one of the most common agents causing ARIs. Few studies on the viral etiology and clinical characteristics of ARIs have been performed in the northwest region of China, including Gansu Province. METHODS: Clinical and demographic information and throat swabs were collected from 279 patients from January 1st to December 30st, 2011. Multiplex RT-PCR was performed to detect 16 respiratory viral pathogens. RESULTS: 279 patients were admitted for ARIs. The patients aged from 1 month to 12 years, with the median age of 2 years. Of which, 105 (37.6%) were positive for at least one pathogen. A total of 136 respiratory viral pathogens were identified from the 105 patients. Respiratory syncytial virus (RSV) was the most frequently detected pathogen (26.5%, 36/136), followed by parainfluenza virus (PIV) 1-3 (22.1%, 30/136), human rhinovirus (HRV) (21.3%, 29/136), human coronavirus (CoV) (10.3%, 14/136) and human adenovirus (HAdV) (9.6%, 13/136). Influenza A (Flu A), human metapneumovirus (hMPV) and human bocavirus (BoCA) were found 4.4%, 3.7% and 2.2%, respectively. Influenza B (Flu B) and seasonal influenza A H1N1(sH1N1) were not detected. Single-infections were detected in 30.5% (85/279) of cases. RSV was the most common pathogens in patients under 1 year and showed seasonal variation with peaks during winter and spring. CONCLUSIONS: This paper presents data on the epidemiology of viral pathogens associated with ARIs among children in Gansu Province, China. RSV is most frequently detected in our study. The findings could serve as a reference for local CDC in drawing up further plans to prevent and control ARIs.",33, observational,279, N/A, convenience sampling
