Identifier,Type,DOI,Title,Abstract,Number of references,Study Type,Study Population Size,Control Group Size,Sampling Method
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.4269/ajtmh.15-0810,"Diversity and Evolutionary Histories of Human Coronaviruses NL63 and 229E Associated with Acute Upper Respiratory Tract Symptoms in Kuala Lumpur, Malaysia.","The human alphacoronaviruses HCoV-NL63 and HCoV-229E are commonly associated with upper respiratory tract infections (URTI). Information on their molecular epidemiology and evolutionary dynamics in the tropical region of southeast Asia however is limited. Here, we analyzed the phylogenetic, temporal distribution, population history, and clinical manifestations among patients infected with HCoV-NL63 and HCoV-229E. Nasopharyngeal swabs were collected from 2,060 consenting adults presented with acute URTI symptoms in Kuala Lumpur, Malaysia, between 2012 and 2013. The presence of HCoV-NL63 and HCoV-229E was detected using multiplex polymerase chain reaction (PCR). The spike glycoprotein, nucleocapsid, and 1a genes were sequenced for phylogenetic reconstruction and Bayesian coalescent inference. A total of 68/2,060 (3.3%) subjects were positive for human alphacoronavirus; HCoV-NL63 and HCoV-229E were detected in 45 (2.2%) and 23 (1.1%) patients, respectively. A peak in the number of HCoV-NL63 infections was recorded between June and October 2012. Phylogenetic inference revealed that 62.8% of HCoV-NL63 infections belonged to genotype B, 37.2% was genotype C, while all HCoV-229E sequences were clustered within group 4. Molecular dating analysis indicated that the origin of HCoV-NL63 was dated to 1921, before it diverged into genotype A (1975), genotype B (1996), and genotype C (2003). The root of the HCoV-229E tree was dated to 1955, before it diverged into groups 1-4 between the 1970s and 1990s. The study described the seasonality, molecular diversity, and evolutionary dynamics of human alphacoronavirus infections in a tropical region.",45, observational, 2060, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1186/s12879-015-0863-6,Viral aetiology of acute respiratory infections among children and associated meteorological factors in southern China.,"BACKGROUND: Acute respiratory infections (ARIs) are common in children and mostly caused by viruses, but the significance of the detection of multiple viruses in ARIs is unclear. This study investigated 14 respiratory viruses in ARIs among children and associated meteorological factors in Shantou, southern China. METHODS: Paired nasal/throat-flocked swabs collected from 1,074 children with ARIs, who visited outpatient walk-in clinics in a tertiary hospital between December 2010 and November 2011, were examined for fourteen respiratory viruses--influenza viruses (FluA, FluB), respiratory syncytial viruses (RSV A and B), human coronaviruses (hCoV: 229E, OC43, HKU1, NL63), human metapneumoviruses (hMPV A and B), parainfluenza viruses (PIV1-4), human rhinoviruses (HRV A, B, C), enteroviruses (EV), adenoviruses (ADV), human bocavirus (hBoV), and human parechoviruses (hPeV)--by multiplex real-time PCR. RESULTS: We identified at least one virus in 82.3% (884/1,074) and multiple viruses in 38.6% (415/1,074) of patients. EV and HRV were the most frequently detected single viruses (42.3%, 374/884 and 39.9%, 353/884 respectively) and co-detected pair (23.1%, 96/415). Overlapping seasonal trends of viruses were recorded over the year, with dual peaks for EV and single peaks for the others. By logistic regression analysis, EV was positively associated with the average temperature and humidity, hCoV, and PIV4, but negatively with HRV, PIV3, and hBoV. HRV was inversely associated with EV and PIV3. CONCLUSIONS: This study reports high viral detection and co-detection rates in pediatric ARI cases mainly due to EV and HRV. Many viruses circulated throughout the year with similar seasonal trends in association with temperature, humidity, and wind velocity. Statistically significant associations were present among the viruses. Understanding the polyviral etiology and viral interactions in the cases with multiple viruses warrants further studies.",54, observational, 1074, not applicable, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0119513,"The clinical and etiological characteristics of influenza-like illness (ILI) in outpatients in Shanghai, China, 2011 to 2013.","INTRODUCTION: Clinical and etiological characteristics of influenza-like illness (ILI) in outpatients is poorly understood in the southern temperate region of China. We conducted laboratory-based surveillance of viral etiology for ILI outpatients in Shanghai from January 2011 to December 2013. MATERIALS AND METHODS: Clinical and epidemiological data from ILI outpatients, both children and adults, were collected. A total of 1970 nasopharyngeal swabs were collected and tested for 12 respiratory viruses using multiplex RT-PCR, and the data were analyzed anonymously. RESULTS: All 12 respiratory viruses were detected in the specimens. At least one virus was detected in 32.4% of 1970 specimens analyzed, with 1.1% showing co-infections. The most frequently detected agents were influenza A (11.7%), influenza B (9.6%), and rhinoviruses (3.1%).Other viruses were present at a frequency less than 3.0%. We observed a winter peak in the detection rate in ILI patients during 3 years of surveillance and a summer peak in 2012. HCoV, HADV, and HMPV were detected more frequently in children than in adults. Patients infected with influenza virus experienced higher temperatures, more coughs, running noses, headaches and fatigue than patients infected with other viruses and virus-free patients (p<0.001). CONCLUSIONS: The spectrum, seasonality, age distribution and clinical associations of respiratory virus infections in children and adults with influenza-like illness were analyzed in this study for the first time. To a certain extent, the findings can provide baseline data for evaluating the burden of respiratory virus infection in children and adults in Shanghai. It will also provide clinicians with helpful information about the etiological patterns of outpatients presenting with complaints of acute respiratory syndrome, but further studies should be conducted, and longer-term laboratory-based surveillance would give a better picture of the etiology of ILI.",41, observational, 1970, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.5812/jjm.39132,Prevalence and Seasonal Distribution of Respiratory Viruses During the 2014 - 2015 Season in Istanbul.,"BACKGROUND: Acute respiratory tract infection (ARTI) is one of the most common infections worldwide, causing significant morbidity and mortality. OBJECTIVES: This study was conducted to determine the prevalence and seasonal distribution of respiratory viruses in our region, in children and adults with a pre-diagnosis of ARTI. METHODS: A total of 845 nasopharyngeal swab specimens were analyzed with the RespiFinder Smart 22 kit (PathoFinder BV, Netherlands) and the Rotor-Gene 6000 real-time PCR system. RESULTS: At least one pathogen was detected in 612 (72.4%) of the specimens. Overall, 902 pathogens were detected; 821 (91%) were viruses and 81 (9%) were bacteria. The most commonly detected pathogens were influenza A virus (IFV-A) (n = 219), influenza B virus (IFV-B) (n=157), rhinovirus/enterovirus (n = 107), human bocavirus (HBoV) (n = 91), respiratory syncytial virus (RSV) A/B (n = 64), adenovirus (n = 56), human coronaviruses (n = 51), CONCLUSIONS: With regard to the prevalence and seasonal distribution of respiratory viruses, our epidemiological data for the 2014 - 2015 season in Istanbul showed a predominance of IFV-A infections with a peak activity in early spring. Enhanced surveillance and early detection of respiratory viral pathogens can be useful in the diagnosis, treatment, and prevention of ARTIs, and for guiding the development of appropriate public health strategies.",25, cross-sectional, 845, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0155555,"The Role of Human Coronaviruses in Children Hospitalized for Acute Bronchiolitis, Acute Gastroenteritis, and Febrile Seizures: A 2-Year Prospective Study.","UNLABELLED: Human coronaviruses (HCoVs) are associated with a variety of clinical presentations in children, but their role in disease remains uncertain. The objective of our prospective study was to investigate HCoVs associations with various clinical presentations in hospitalized children up to 6 years of age. Children hospitalized with acute bronchiolitis (AB), acute gastroenteritis (AGE), or febrile seizures (FS), and children admitted for elective surgical procedures (healthy controls) were included in the study. In patients with AB, AGE, and FS, a nasopharyngeal (NP) swab and blood sample were obtained upon admission and the follow-up visit 14 days later, whereas in children with AGE a stool sample was also acquired upon admission; in healthy controls a NP swab and stool sample were taken upon admission. Amplification of polymerase 1b gene was used to detect HCoVs in the specimens. HCoVs-positive specimens were also examined for the presence of several other viruses. HCoVs were most often detected in children with FS (19/192, 9.9%, 95% CI: 6-15%), followed by children with AGE (19/218, 8.7%, 95% CI: 5.3-13.3%) and AB (20/308, 6.5%, 95% CI: 4.0-9.8%). The presence of other viruses was a common finding, most frequent in the group of children with AB (19/20, 95%, 95% CI: 75.1-99.8%), followed by FS (10/19, 52.6%, 95% CI: 28.9-75.6%) and AGE (7/19, 36.8%, 95% CI: 16.3-61.6%). In healthy control children HCoVs were detected in 3/156 (1.9%, 95% CI: 0.4-5.5%) NP swabs and 1/150 (0.7%, 95% CI: 0.02-3.3%) stool samples. It seems that an etiological role of HCoVs is most likely in children with FS, considering that they had a higher proportion of positive HCoVs results than patients with AB and those with AGE, and had the highest viral load; however, the co-detection of other viruses was 52.6%. TRIAL REGISTRATION: ClinicalTrials.gov NCT00987519.",50, observational, 718, 156, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1007/s00705-014-2035-1,"Viral etiology of influenza-like illnesses in Huizhou, China, from 2011 to 2013.","Little information is available on the etiology and prevalence of viruses other than influenza viruses causing influenza-like illnesses (ILIs) in China. This study was conducted for simultaneous detection and identification of 14 respiratory viruses in Huizhou using real-time PCR. In total, viruses were detected in 48.66 % of ILI patient samples, in which influenza virus (19.98 %) was the most commonly detected, followed by rhinovirus (7.46 %), human coronaviruses (3.63 %), human metapneumovirus (3.06 %), parainfluenza virus (3.06 %), respiratory syncytial virus (2.39 %), adenovirus (2.29 %), and human bocavirus (1.43 %). Co-infections occurred in 5.35 % of all tested specimens and 11.00 % (56/509) of infected patients. Children under 5 years and adults older than 60 years were more likely to have one or more detectable viruses associated with their ILI (OR=1.75, 95 % CI: 1.37; 2.23). Influenza virus was detected during each month of each year, and increased viral activity was observed in 2013. Infections with adenovirus and human metapneumovirus had characteristic seasonal patterns. No significant differences were found in positive the rate between the gender groups, while significantly differences in positive rate were found among the different age groups (P-value<0.001). This study confirmed that multiple respiratory viruses may circulate concurrently in the population and play an important role in the etiology of ILI. The most frequent symptoms associated with respiratory viruses were sore throat, rhinorrhea and headache. This information needs to be considered by clinicians when treating patients presenting with ILI, and it could serve as a reference for government officers when designing and implementing effective intervention plans.",39, observational, 1046, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1016/j.jcv.2018.01.019,Human coronavirus circulation in the United States 2014-2017.,"BACKGROUND: Human coronaviruses (HCoVs) -OC43, -229E, -NL63 and -HKU1 cause upper and lower respiratory tract infections. HCoVs are globally distributed and the predominant species may vary by region or year. Prior studies have shown seasonal patterns of HCoV species and annual variation in species prevalence but national circulation patterns in the US have not yet been described. OBJECTIVES: To describe circulation patterns of HCoVs -OC43, -229E, -NL63 and -HKU1 in the US. STUDY DESIGN: We reviewed real-time reverse transcription polymerase chain reaction (rRT-PCR) test results for HCoV-OC43, -229E, -NL63 and -HKU1 reported to The National Respiratory and Enteric Virus Surveillance System (NREVSS) by U.S. laboratories from July 2014-June 2017. We calculated the total number of tests and percent positive by week. For a subset of HCoV positive submissions with age and sex of the patient available, we tested for differences in age and sex across the four HCoV species using Chi Square and Kruskal Wallace tests. RESULTS: 117 laboratories reported 854,575 HCoV tests; 2.2% were positive for HCoV-OC43, 1.0% for HCoV-NL63, 0.8% for HCoV-229E, and 0.6% for HCoV-HKU1. The percentage of positive tests peaked during December - March each year. No significant differences in sex were seen across species, although a significant difference in age distribution was noted. CONCLUSIONS: Common HCoVs may have annual peaks of circulation in winter months in the US, and individual HCoVs may show variable circulation from year to year. Different HCoV species may be detected more frequently in different age groups. Further years of data are needed to better understand patterns of activity for HCoVs.",15, observational, 854575, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1002/jmv.25069,Nation-wide surveillance of human acute respiratory virus infections between 2013 and 2015 in Korea.,"The prevalence of eight respiratory viruses detected in patients with acute respiratory infections (ARIs) in Korea was investigated through analysis of data recorded by the Korea Influenza and Respiratory Viruses Surveillance System (KINRESS) from 2013 to 2015. Nasal aspirate and throat swabs specimens were collected from 36 915 patients with ARIs, and viral nucleic acids were detected by real-time (reverse-transcription) polymerase chain reaction for eight respiratory viruses, including human respiratory syncytial viruses (HRSVs), influenza viruses (IFVs), human parainfluenza viruses (HPIVs), human coronaviruses (HCoVs), human rhinovirus (HRV), human adenovirus (HAdV), human bocavirus (HBoV), and human metapneumovirus (HMPV). The overall positive rate of patient specimens was 49.4% (18 236/36 915), 5% of which carried two or more viruses simultaneously. HRV (15.6%) was the most predominantly detected virus, followed by IFVs (14.6%), HAdV (7.5%), HPIVs (5.8%), HCoVs (4.2%), HRSVs (3.6%), HBoV (1.9%), and HMPV (1.6%). Most of the ARIs were significantly correlated with clinical symptoms of fever, cough, and runny nose. Although HRV and HAdV were frequently detected throughout the year in patients, other respiratory viruses showed apparent seasonality. HRSVs and IFVs were the major causative agents of acute respiratory diseases in infants and young children. Overall, this study demonstrates a meaningful relationship between viral infection and typical manifestations of known clinical features as well as seasonality, age distribution, and co-infection among respiratory viruses. Therefore, these data could provide useful information for public health management and to enhance patient care for primary clinicians.",26, observational, 36915, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1128/JCM.02614-05,Coronavirus HKU1 and other coronavirus infections in Hong Kong.,"We have recently described the discovery of a novel coronavirus, coronavirus HKU1 (CoV-HKU1), associated with community-acquired pneumonia. However, the clinical spectrum of disease and the epidemiology of CoV-HKU1 infections in relation to infections with other respiratory viruses are unknown. In this 12-month prospective study, 4,181 nasopharyngeal aspirates from patients with acute respiratory tract infections were subjected to reverse transcription-PCRs specific for CoV-HKU1 and human coronaviruses NL63 (HCoV-NL63), OC43 (HCoV-OC43), and 229E (HCoV-229E). Coronaviruses were detected in 87 (2.1%) patients, with 13 (0.3%) positive for CoV-HKU1, 17 (0.4%) positive for HCoV-NL63, 53 (1.3%) positive for HCoV-OC43, and 4 (0.1%) positive for HCoV-229E. Of the 13 patients with CoV-HKU1 infections, 11 were children and 8 had underlying diseases. Similar to the case for other coronaviruses, upper respiratory infection was the most common presentation of CoV-HKU1 infections, although pneumonia, acute bronchiolitis, and asthmatic exacerbation also occurred. Despite a shorter duration of fever (mean, 1.7 days) and no difference in maximum temperature in children with CoV-HKU1 infections compared to patients with most other respiratory virus infections, a high incidence of febrile seizures (50%) was noted, which was significantly higher than those for HCoV-OC43 (14%), adenovirus (9%), human parainfluenza virus 1 (0%), and respiratory syncytial virus (8%) infections. CoV-HKU1 and HCoV-OC43 infections peaked in winter, although cases of the former also occurred in spring to early summer. This is in contrast to HCoV-NL63 infections, which mainly occurred in early summer and autumn but were absent in winter. Two genotypes of CoV-HKU1 cocirculated during the study period. Continuous studies over a longer period are warranted to ascertain the seasonal variation and relative importance of the different coronaviruses. Similar studies in other countries are required to better determine the epidemiology and genetic diversity of CoV-HKU1.",34, observational, 4181, N/A, convenience sampling
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1002/jmv.25040,"Viral etiologies and epidemiology of patients with acute respiratory infections based on sentinel hospitals in Gansu Province, Northwest China, 2011-2015.","Understanding etiological role and epidemiological profile is needed to improve clinical management and prevention of acute respiratory infections (ARIs). A 5-year prospective study about active surveillance for outpatients and inpatients with ARIs was conducted in Gansu province, China, from January 2011 to November 2015. Respiratory specimens were collected from patients and tested for eight respiratory viruses using polymerase chain reaction (PCR) or reverse transcription polymerase chain reaction (RT-PCR). In this study, 2768 eligible patients with median age of 43 years were enrolled including pneumonia (1368, 49.2%), bronchitis (435, 15.7%), upper respiratory tract infection or URTI (250, 9.0%), and unclassified ARI (715, 25.8%). Overall, 29.2% (808/2768) were positive for any one of eight viruses, of whom 130 cases were identified with two or more viruses. Human rhinovirus (HRV) showed the highest detection rate (8.6%), followed by influenza virus (Flu, 7.3%), respiratory syncytial virus (RSV, 6.1%), human coronavirus (hCoV, 4.3%), human parainfluenza (PIV, 4.0%), adenovirus (ADV, 2.1%), human metapneumovirus (hMPV, 1.6%), and human bocavirus (hBoV, 0.7%). Compared with URTI, RSV was more likely identified in pneumonia (χ",39, observational, 2768, N/A, convenience sampling
