Identifier,Type,DOI,Title,Abstract,Number of references,Study Type,Study Population Size,Control Group Size,Sampling Method
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1016/S2214-109X(19)30264-5,"Global patterns in monthly activity of influenza virus, respiratory syncytial virus, parainfluenza virus, and metapneumovirus: a systematic analysis.","BACKGROUND: Influenza virus, respiratory syncytial virus, parainfluenza virus, and metapneumovirus are the most common viruses associated with acute lower respiratory infections in young children (<5 years) and older people (≥65 years). A global report of the monthly activity of these viruses is needed to inform public health strategies and programmes for their control. METHODS: In this systematic analysis, we compiled data from a systematic literature review of studies published between Jan 1, 2000, and Dec 31, 2017; online datasets; and unpublished research data. Studies were eligible for inclusion if they reported laboratory-confirmed incidence data of human infection of influenza virus, respiratory syncytial virus, parainfluenza virus, or metapneumovirus, or a combination of these, for at least 12 consecutive months (or 52 weeks equivalent); stable testing practice throughout all years reported; virus results among residents in well-defined geographical locations; and aggregated virus results at least on a monthly basis. Data were extracted through a three-stage process, from which we calculated monthly annual average percentage (AAP) as the relative strength of virus activity. We defined duration of epidemics as the minimum number of months to account for 75% of annual positive samples, with each component month defined as an epidemic month. Furthermore, we modelled monthly AAP of influenza virus and respiratory syncytial virus using site-specific temperature and relative humidity for the prediction of local average epidemic months. We also predicted global epidemic months of influenza virus and respiratory syncytial virus on a 5° by 5° grid. The systematic review in this study is registered with PROSPERO, number CRD42018091628. FINDINGS: We initally identified 37 335 eligible studies. Of 21 065 studies remaining after exclusion of duplicates, 1081 full-text articles were assessed for eligibility, of which 185 were identified as eligible. We included 246 sites for influenza virus, 183 sites for respiratory syncytial virus, 83 sites for parainfluenza virus, and 65 sites for metapneumovirus. Influenza virus had clear seasonal epidemics in winter months in most temperate sites but timing of epidemics was more variable and less seasonal with decreasing distance from the equator. Unlike influenza virus, respiratory syncytial virus had clear seasonal epidemics in both temperate and tropical regions, starting in late summer months in the tropics of each hemisphere, reaching most temperate sites in winter months. In most temperate sites, influenza virus epidemics occurred later than respiratory syncytial virus (by 0·3 months [95% CI -0·3 to 0·9]) while no clear temporal order was observed in the tropics. Parainfluenza virus epidemics were found mostly in spring and early summer months in each hemisphere. Metapneumovirus epidemics occurred in late winter and spring in most temperate sites but the timing of epidemics was more diverse in the tropics. Influenza virus epidemics had shorter duration (3·8 months [3·6 to 4·0]) in temperate sites and longer duration (5·2 months [4·9 to 5·5]) in the tropics. Duration of epidemics was similar across all sites for respiratory syncytial virus (4·6 months [4·3 to 4·8]), as it was for metapneumovirus (4·8 months [4·4 to 5·1]). By comparison, parainfluenza virus had longer duration of epidemics (6·3 months [6·0 to 6·7]). Our model had good predictability in the average epidemic months of influenza virus in temperate regions and respiratory syncytial virus in both temperate and tropical regions. Through leave-one-out cross validation, the overall prediction error in the onset of epidemics was within 1 month (influenza virus -0·2 months [-0·6 to 0·1]; respiratory syncytial virus 0·1 months [-0·2 to 0·4]). INTERPRETATION: This study is the first to provide global representations of month-by-month activity of influenza virus, respiratory syncytial virus, parainfluenza virus, and metapneumovirus. Our model is helpful in predicting the local onset month of influenza virus and respiratory syncytial virus epidemics. The seasonality information has important implications for health services planning, the timing of respiratory syncytial virus passive prophylaxis, and the strategy of influenza virus and future respiratory syncytial virus vaccination. FUNDING: European Union Innovative Medicines Initiative Respiratory Syncytial Virus Consortium in Europe (RESCEU).",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.4269/ajtmh.15-0810,"Diversity and Evolutionary Histories of Human Coronaviruses NL63 and 229E Associated with Acute Upper Respiratory Tract Symptoms in Kuala Lumpur, Malaysia.","The human alphacoronaviruses HCoV-NL63 and HCoV-229E are commonly associated with upper respiratory tract infections (URTI). Information on their molecular epidemiology and evolutionary dynamics in the tropical region of southeast Asia however is limited. Here, we analyzed the phylogenetic, temporal distribution, population history, and clinical manifestations among patients infected with HCoV-NL63 and HCoV-229E. Nasopharyngeal swabs were collected from 2,060 consenting adults presented with acute URTI symptoms in Kuala Lumpur, Malaysia, between 2012 and 2013. The presence of HCoV-NL63 and HCoV-229E was detected using multiplex polymerase chain reaction (PCR). The spike glycoprotein, nucleocapsid, and 1a genes were sequenced for phylogenetic reconstruction and Bayesian coalescent inference. A total of 68/2,060 (3.3%) subjects were positive for human alphacoronavirus; HCoV-NL63 and HCoV-229E were detected in 45 (2.2%) and 23 (1.1%) patients, respectively. A peak in the number of HCoV-NL63 infections was recorded between June and October 2012. Phylogenetic inference revealed that 62.8% of HCoV-NL63 infections belonged to genotype B, 37.2% was genotype C, while all HCoV-229E sequences were clustered within group 4. Molecular dating analysis indicated that the origin of HCoV-NL63 was dated to 1921, before it diverged into genotype A (1975), genotype B (1996), and genotype C (2003). The root of the HCoV-229E tree was dated to 1955, before it diverged into groups 1-4 between the 1970s and 1990s. The study described the seasonality, molecular diversity, and evolutionary dynamics of human alphacoronavirus infections in a tropical region.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.3109/00365548.2011.598876,Seasonal variations of 15 respiratory agents illustrated by the application of a multiplex polymerase chain reaction assay.,"BACKGROUND: Nucleic acid amplification tests are increasingly being used to diagnose viral and bacterial respiratory tract infections. The high sensitivity of these tests affects our understanding of the epidemiology of respiratory tract infections. We have assessed the detection rate of a multiplex real-time polymerase chain reaction (PCR) test, with emphasis on epidemiology and seasonal distribution of the most common respiratory tract infections. METHODS: Seven thousand eight hundred and fifty-three nasopharyngeal samples from 7220 patients (age range 0-98 y, median 22 y) obtained during 36 consecutive months (November 2006-October 2009), were analyzed with a multiplex PCR panel including influenza A (IfA) and B (IfB) virus, parainfluenza virus (PIV) 1-3, respiratory syncytial virus (RSV), human rhinovirus (HRV), human coronavirus (CoV) OC43, NL63, and 229E, human metapneumovirus (HMPV), adenovirus (AdV), enterovirus (EV), and 2 bacteria--Mycoplasma pneumoniae and Chlamydophila pneumoniae. RESULTS: Of the total samples, 44.5% (n = 3496) were positive for at least 1 agent, with HRV being the most common (n = 1482, 38.0%), followed by RSV (n = 526, 13.5%) and IfA (n = 403, 10.3%). The diagnostic yield was significantly higher during the winter and early spring compared to the summer (n = 2439 of 4458 samples, 54.7% and n = 1057 of 3395 samples, 31.1%, respectively; p < 0.001). CONCLUSIONS: The diagnostic yield was highly dependent on the month of sampling and the age of the patient. However, the overall detection rate per month was above 30%, apart for August and September. Our findings support the use of similar tests in routine clinical care all year round. HRV was the most common finding in the respiratory tract, independent of season.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1186/s12879-015-0863-6,Viral aetiology of acute respiratory infections among children and associated meteorological factors in southern China.,"BACKGROUND: Acute respiratory infections (ARIs) are common in children and mostly caused by viruses, but the significance of the detection of multiple viruses in ARIs is unclear. This study investigated 14 respiratory viruses in ARIs among children and associated meteorological factors in Shantou, southern China. METHODS: Paired nasal/throat-flocked swabs collected from 1,074 children with ARIs, who visited outpatient walk-in clinics in a tertiary hospital between December 2010 and November 2011, were examined for fourteen respiratory viruses--influenza viruses (FluA, FluB), respiratory syncytial viruses (RSV A and B), human coronaviruses (hCoV: 229E, OC43, HKU1, NL63), human metapneumoviruses (hMPV A and B), parainfluenza viruses (PIV1-4), human rhinoviruses (HRV A, B, C), enteroviruses (EV), adenoviruses (ADV), human bocavirus (hBoV), and human parechoviruses (hPeV)--by multiplex real-time PCR. RESULTS: We identified at least one virus in 82.3% (884/1,074) and multiple viruses in 38.6% (415/1,074) of patients. EV and HRV were the most frequently detected single viruses (42.3%, 374/884 and 39.9%, 353/884 respectively) and co-detected pair (23.1%, 96/415). Overlapping seasonal trends of viruses were recorded over the year, with dual peaks for EV and single peaks for the others. By logistic regression analysis, EV was positively associated with the average temperature and humidity, hCoV, and PIV4, but negatively with HRV, PIV3, and hBoV. HRV was inversely associated with EV and PIV3. CONCLUSIONS: This study reports high viral detection and co-detection rates in pediatric ARI cases mainly due to EV and HRV. Many viruses circulated throughout the year with similar seasonal trends in association with temperature, humidity, and wind velocity. Statistically significant associations were present among the viruses. Understanding the polyviral etiology and viral interactions in the cases with multiple viruses warrants further studies.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1099/vir.0.059832-0,"Isolation, propagation, genome analysis and epidemiology of HKU1 betacoronaviruses.","From 1 January 2009 to 31 May 2013, 15 287 respiratory specimens submitted to the Clinical Virology Laboratory at the Children's Hospital Colorado were tested for human coronavirus RNA by reverse transcription-PCR. Human coronaviruses HKU1, OC43, 229E and NL63 co-circulated during each of the respiratory seasons but with significant year-to-year variability, and cumulatively accounted for 7.4-15.6 % of all samples tested during the months of peak activity. A total of 79 (0.5 % prevalence) specimens were positive for human betacoronavirus HKU1 RNA. Genotypes HKU1 A and B were both isolated from clinical specimens and propagated on primary human tracheal-bronchial epithelial cells cultured at the air-liquid interface and were neutralized in vitro by human intravenous immunoglobulin and by polyclonal rabbit antibodies to the spike glycoprotein of HKU1. Phylogenetic analysis of the deduced amino acid sequences of seven full-length genomes of Colorado HKU1 viruses and the spike glycoproteins from four additional HKU1 viruses from Colorado and three from Brazil demonstrated remarkable conservation of these sequences with genotypes circulating in Hong Kong and France. Within genotype A, all but one of the Colorado HKU1 sequences formed a unique subclade defined by three amino acid substitutions (W197F, F613Y and S752F) in the spike glycoprotein and exhibited a unique signature in the acidic tandem repeat in the N-terminal region of the nsp3 subdomain. Elucidating the function of and mechanisms responsible for the formation of these varying tandem repeats will increase our understanding of the replication process and pathogenicity of HKU1 and potentially of other coronaviruses.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1371/journal.pone.0119513,"The clinical and etiological characteristics of influenza-like illness (ILI) in outpatients in Shanghai, China, 2011 to 2013.","INTRODUCTION: Clinical and etiological characteristics of influenza-like illness (ILI) in outpatients is poorly understood in the southern temperate region of China. We conducted laboratory-based surveillance of viral etiology for ILI outpatients in Shanghai from January 2011 to December 2013. MATERIALS AND METHODS: Clinical and epidemiological data from ILI outpatients, both children and adults, were collected. A total of 1970 nasopharyngeal swabs were collected and tested for 12 respiratory viruses using multiplex RT-PCR, and the data were analyzed anonymously. RESULTS: All 12 respiratory viruses were detected in the specimens. At least one virus was detected in 32.4% of 1970 specimens analyzed, with 1.1% showing co-infections. The most frequently detected agents were influenza A (11.7%), influenza B (9.6%), and rhinoviruses (3.1%).Other viruses were present at a frequency less than 3.0%. We observed a winter peak in the detection rate in ILI patients during 3 years of surveillance and a summer peak in 2012. HCoV, HADV, and HMPV were detected more frequently in children than in adults. Patients infected with influenza virus experienced higher temperatures, more coughs, running noses, headaches and fatigue than patients infected with other viruses and virus-free patients (p<0.001). CONCLUSIONS: The spectrum, seasonality, age distribution and clinical associations of respiratory virus infections in children and adults with influenza-like illness were analyzed in this study for the first time. To a certain extent, the findings can provide baseline data for evaluating the burden of respiratory virus infection in children and adults in Shanghai. It will also provide clinicians with helpful information about the etiological patterns of outpatients presenting with complaints of acute respiratory syndrome, but further studies should be conducted, and longer-term laboratory-based surveillance would give a better picture of the etiology of ILI.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.5812/jjm.39132,Prevalence and Seasonal Distribution of Respiratory Viruses During the 2014 - 2015 Season in Istanbul.,"BACKGROUND: Acute respiratory tract infection (ARTI) is one of the most common infections worldwide, causing significant morbidity and mortality. OBJECTIVES: This study was conducted to determine the prevalence and seasonal distribution of respiratory viruses in our region, in children and adults with a pre-diagnosis of ARTI. METHODS: A total of 845 nasopharyngeal swab specimens were analyzed with the RespiFinder Smart 22 kit (PathoFinder BV, Netherlands) and the Rotor-Gene 6000 real-time PCR system. RESULTS: At least one pathogen was detected in 612 (72.4%) of the specimens. Overall, 902 pathogens were detected; 821 (91%) were viruses and 81 (9%) were bacteria. The most commonly detected pathogens were influenza A virus (IFV-A) (n = 219), influenza B virus (IFV-B) (n=157), rhinovirus/enterovirus (n = 107), human bocavirus (HBoV) (n = 91), respiratory syncytial virus (RSV) A/B (n = 64), adenovirus (n = 56), human coronaviruses (n = 51), CONCLUSIONS: With regard to the prevalence and seasonal distribution of respiratory viruses, our epidemiological data for the 2014 - 2015 season in Istanbul showed a predominance of IFV-A infections with a peak activity in early spring. Enhanced surveillance and early detection of respiratory viral pathogens can be useful in the diagnosis, treatment, and prevention of ARTIs, and for guiding the development of appropriate public health strategies.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1093/infdis/jiy646,Human Coronavirus in Hospitalized Children With Respiratory Tract Infections: A 9-Year Population-Based Study From Norway.,"BACKGROUND: The burden of human coronavirus (HCoV)-associated respiratory tract infections (RTIs) in hospitalized children is poorly defined. We studied the occurrence and hospitalization rates of HCoV over 9 years. METHODS: Children from Sør-Trøndelag County, Norway, hospitalized with RTIs and asymptomatic controls, were prospectively enrolled from 2006 to 2015. Nasopharyngeal aspirates were analyzed with semiquantitative polymerase chain reaction (PCR) tests for HCoV subtypes OC43, 229E, NL63, and HKU1, and 13 other respiratory pathogens. RESULTS: HCoV was present in 9.1% (313/3458) of all RTI episodes: 46.6% OC43, 32.3% NL63, 16.0% HKU1, and 5.8% 229E. Hospitalization rates for HCoV-positive children with lower RTIs were 1.5 and 2.8 per 1000 <5 and <1 years of age, respectively. The detection rate among controls was 10.2% (38/373). Codetections occurred in 68.1% of the patients and 68.4% of the controls. In a logistic regression analysis, high HCoV genomic loads (cycle threshold <28 in PCR analysis) were associated with RTIs (odds ratio = 3.12, P = .016) adjusted for relevant factors. CONCLUSIONS: HCoVs occurred in 1 of 10 hospitalized children with RTIs and asymptomatic controls. A high HCoV genomic load was associated with RTI. HCoVs are associated with a substantial burden of RTIs in need of hospitalization.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1093/infdis/jix262,The Burden of Human Metapneumovirus and Respiratory Syncytial Virus Infections in Hospitalized Norwegian Children.,"BACKGROUND: The burden of severe human metapneumovirus (HMPV) respiratory tract infections (RTIs) in European children has not been clarified. We assessed HMPV in Norwegian children and compared hospitalization rates for HMPV and respiratory syncytial virus (RSV). METHODS: We prospectively enrolled children (<16 years old) hospitalized with RTI and asymptomatic controls (2006-2015). Nasopharyngeal aspirate samples were analyzed with polymerase chain reaction (PCR) tests for HMPV, RSV, and 17 other pathogens. We genotyped HMPV-positive samples and assessed shedding time in 32 HMPV-infected children. RESULTS: In children with RTI, HMPV was detected in 7.3% (267 of 3650) and RSV in 28.7% (1048 of 3650). Among controls, 2.1% (7 of 339) had low HMPV levels detected by PCR, but all were culture negative. HMPV primarily occurred from January to April and in regular epidemics. At least 2 HMPV subtypes occurred each season. The average annual hospitalization rates in children <5 years old with lower RTI were 1.9/1000 (HMPV) and 10.4/1000 (RSV). Among children with RTI, the median HMPV shedding time by PCR was 13 days (range, 6-28 days), but all were culture negative (noninfectious) after 13 days. CONCLUSIONS: HMPV appears in epidemics in Norwegian children, with a hospitalization rate 5 times lower than RSV. Low levels of HMPV are rarely detected in healthy children.",,,,,
"Global Seasonality of Human Seasonal Coronaviruses, Circulating Season of Severe Acute Respiratory Syndrome",good,10.1056/NEJMoa1405870,Community-acquired pneumonia requiring hospitalization among U.S. children.,"BACKGROUND: Incidence estimates of hospitalizations for community-acquired pneumonia among children in the United States that are based on prospective data collection are limited. Updated estimates of pneumonia that has been confirmed radiographically and with the use of current laboratory diagnostic tests are needed. METHODS: We conducted active population-based surveillance for community-acquired pneumonia requiring hospitalization among children younger than 18 years of age in three hospitals in Memphis, Nashville, and Salt Lake City. We excluded children with recent hospitalization or severe immunosuppression. Blood and respiratory specimens were systematically collected for pathogen detection with the use of multiple methods. Chest radiographs were reviewed independently by study radiologists. RESULTS: From January 2010 through June 2012, we enrolled 2638 of 3803 eligible children (69%), 2358 of whom (89%) had radiographic evidence of pneumonia. The median age of the children was 2 years (interquartile range, 1 to 6); 497 of 2358 children (21%) required intensive care, and 3 (<1%) died. Among 2222 children with radiographic evidence of pneumonia and with specimens available for bacterial and viral testing, a viral or bacterial pathogen was detected in 1802 (81%), one or more viruses in 1472 (66%), bacteria in 175 (8%), and both bacterial and viral pathogens in 155 (7%). The annual incidence of pneumonia was 15.7 cases per 10,000 children (95% confidence interval [CI], 14.9 to 16.5), with the highest rate among children younger than 2 years of age (62.2 cases per 10,000 children; 95% CI, 57.6 to 67.1). Respiratory syncytial virus was more common among children younger than 5 years of age than among older children (37% vs. 8%), as were adenovirus (15% vs. 3%) and human metapneumovirus (15% vs. 8%). Mycoplasma pneumoniae was more common among children 5 years of age or older than among younger children (19% vs. 3%). CONCLUSIONS: The burden of hospitalization for children with community-acquired pneumonia was highest among the very young, with respiratory viruses the most commonly detected causes of pneumonia. (Funded by the Influenza Division of the National Center for Immunization and Respiratory Diseases.).",,,,,
